2016-05-24	BTC	446.99
2016-05-25	BTC	451.49
2016-05-26	BTC	454.97
2016-05-27	BTC	471.27
2016-05-28	BTC	523.25
2016-05-29	BTC	525.22
2016-05-30	BTC	532.55
2016-05-31	BTC	531.34
2016-06-01	BTC	534.84
2016-06-02	BTC	537.87
2016-06-03	BTC	571.25
2016-06-04	BTC	576.31
2016-06-05	BTC	575.17
2016-06-06	BTC	586.77
2016-06-07	BTC	579.71
2016-06-08	BTC	583.21
2016-06-09	BTC	577.46
2016-06-10	BTC	580.31
2016-06-11	BTC	609.5
2016-06-12	BTC	677.86
2016-06-13	BTC	706.01
2016-06-14	BTC	684.95
2016-06-15	BTC	698.78
2016-06-16	BTC	769.76
2016-06-17	BTC	752.26
2016-06-18	BTC	758.99
2016-06-19	BTC	768.76
2016-06-20	BTC	703.12
2016-06-21	BTC	667.66
2016-06-22	BTC	604.5
2016-06-23	BTC	631.1
2016-06-24	BTC	669.98
2016-06-25	BTC	673.71
2016-06-26	BTC	638.56
2016-06-27	BTC	657.87
2016-06-28	BTC	648.43
2016-06-29	BTC	639.42
2016-06-30	BTC	673.49
2016-07-01	BTC	678.19
2016-07-02	BTC	704.95
2016-07-03	BTC	663.55
2016-07-04	BTC	681.98
2016-07-05	BTC	669.87
2016-07-06	BTC	678.79
2016-07-07	BTC	641.97
2016-07-08	BTC	667.33
2016-07-09	BTC	657.61
2016-07-10	BTC	652.44
2016-07-11	BTC	650.97
2016-07-12	BTC	666.56
2016-07-13	BTC	655.34
2016-07-14	BTC	661.65
2016-07-15	BTC	667.48
2016-07-16	BTC	666.32
2016-07-17	BTC	680
2016-07-18	BTC	675.5
2016-07-19	BTC	673.98
2016-07-20	BTC	666.92
2016-07-21	BTC	667.28
2016-07-22	BTC	654.67
2016-07-23	BTC	657.5
2016-07-24	BTC	661
2016-07-25	BTC	657.79
2016-07-26	BTC	654.06
2016-07-27	BTC	657.35
2016-07-28	BTC	657.4
2016-07-29	BTC	657
2016-07-30	BTC	655.87
2016-07-31	BTC	626.97
2016-08-01	BTC	605.2
2016-08-02	BTC	537.47
2016-08-03	BTC	573.36
2016-08-04	BTC	587.5
2016-08-05	BTC	583
2016-08-06	BTC	591.71
2016-08-07	BTC	595.14
2016-08-08	BTC	591.48
2016-08-09	BTC	586.45
2016-08-10	BTC	594.94
2016-08-11	BTC	587.91
2016-08-12	BTC	587.74
2016-08-13	BTC	586.45
2016-08-14	BTC	574.99
2016-08-15	BTC	567.79
2016-08-16	BTC	579.02
2016-08-17	BTC	574.45
2016-08-18	BTC	574.09
2016-08-19	BTC	573.67
2016-08-20	BTC	581.87
2016-08-21	BTC	581.29
2016-08-22	BTC	585.2
2016-08-23	BTC	582.39
2016-08-24	BTC	578.47
2016-08-25	BTC	575.58
2016-08-26	BTC	579.29
2016-08-27	BTC	570.84
2016-08-28	BTC	575.41
2016-08-29	BTC	573.21
2016-08-30	BTC	574.95
2016-08-31	BTC	572.89
2016-09-01	BTC	573.02
2016-09-02	BTC	576.21
2016-09-03	BTC	600.91
2016-09-04	BTC	611.92
2016-09-05	BTC	605.69
2016-09-06	BTC	612.99
2016-09-07	BTC	615.21
2016-09-08	BTC	627.97
2016-09-09	BTC	622.07
2016-09-10	BTC	623.74
2016-09-11	BTC	607.94
2016-09-12	BTC	606.74
2016-09-13	BTC	608.63
2016-09-14	BTC	608.43
2016-09-15	BTC	605.44
2016-09-16	BTC	607.93
2016-09-17	BTC	607.92
2016-09-18	BTC	611.4
2016-09-19	BTC	608.6
2016-09-20	BTC	605.6
2016-09-21	BTC	597
2016-09-22	BTC	596.21
2016-09-23	BTC	602.96
2016-09-24	BTC	603.68
2016-09-25	BTC	601.67
2016-09-26	BTC	607.08
2016-09-27	BTC	605.71
2016-09-28	BTC	605.04
2016-09-29	BTC	605.99
2016-09-30	BTC	608.99
2016-10-01	BTC	615.65
2016-10-02	BTC	612.4
2016-10-03	BTC	612.99
2016-10-04	BTC	610.34
2016-10-05	BTC	613.16
2016-10-06	BTC	611.88
